Fecha,Momento,Preparo,Plato,Comida,Tipo,Color,Codigo,Porcentaje
8/8,Almuerzo,I,mila pollo c/ arroz,milanesa pollo,carne,ocre,#F0E68C,0.5
8/8,Almuerzo,I,mila pollo c/ arroz,arroz,cereal,blanco,#FFFFFF,0.4
8/8,Almuerzo,I,mila pollo c/ arroz,queso,lácteo,crema,#FFFACD,0.1
8/8,Cena,I,hamburguesa,pan,cereal,ocre,#F0E68C,0.2
8/8,Cena,Y,hamburguesa,carne picada,carne,marrón,#B46446,0.4
8/8,Cena,Y,hamburguesa,queso,lácteo,amarillo,#FFD700,0.1
8/8,Cena,I,hamburguesa,tomate,fruta,rojo,#DC143C,0.1
8/8,Cena,Y,hamburguesa,cebolla,verdura,blanco,#FFFFFF,0.1
8/8,Cena,Y,hamburguesa,pepino,verdura,verde,#32CD32,0.1
9/8,Almuerzo,Y,panzotti suizo c/ crema,panzotti,cereal,crema,#FFFACD,0.3
9/8,Almuerzo,Y,panzotti suizo c/ crema,lomo ahumado,carne,marrón,#B46446,0.3
9/8,Almuerzo,Y,panzotti suizo c/ crema,queso,lácteo,crema,#FFFACD,0.2
9/8,Almuerzo,Y,panzotti suizo c/ crema,hongo,otro,ocre,#F0E68C,0.2
9/8,Cena,I,sopa,caldo,otro,aqua,#E0FFFF,0.25
9/8,Cena,I,sopa,calabaza,verdura,naranja,#FF8C00,0.2
9/8,Cena,I,sopa,zanahoria,verdura,naranja,#FF8C00,0.15
9/8,Cena,I,sopa,papa,verdura,blanco,#FFFFFF,0.15
9/8,Cena,I,sopa,perejil,verdura,verde,#32CD32,0.1
9/8,Cena,I,sopa,puerro,verdura,blanco,#FFFFFF,0.1
9/8,Cena,Y,sopa,queso,lácteo,crema,#FFFACD,0.05
10/8,Almuerzo,Y,mila c/ ensalada,milanesa,carne,marrón,#B46446,0.5
10/8,Almuerzo,I,mila c/ ensalada,tomate,fruta,rojo,#DC143C,0.15
10/8,Almuerzo,I,mila c/ ensalada,palta,fruta,verde,#32CD32,0.15
10/8,Almuerzo,I,mila c/ ensalada,queso,lácteo,crema,#FFFACD,0.2
10/8,Cena,I,pollo c/ papa,pollo,carne,ocre,#F0E68C,0.6
10/8,Cena,I,pollo c/ papa,papa,verdura,ocre,#F0E68C,0.4
11/8,Almuerzo,Y,salchicha c/ arroz,salchicha,carne,salmón,#FA8072,0.4
11/8,Almuerzo,Y,salchicha c/ arroz,arroz,cereal,blanco,#FFFFFF,0.5
11/8,Almuerzo,Y,salchicha c/ arroz,queso,lácteo,crema,#FFFACD,0.1
11/8,Cena,Y,bife c/ puré calabaza,bife,carne,marrón,#B46446,0.5
11/8,Cena,Y,bife c/ puré calabaza,calabaza,verdura,naranja,#FF8C00,0.5
12/8,Almuerzo,I,fideo c/ tuco,pasta,cereal,rojo,#DC143C,0.8
